@relation '264019L1 2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,3-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lz?y-R1,2,3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Reorder-Rfirst-last-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R4-precision6'

@attribute 'okres w jakim bêdzie pobiera³ dochód' numeric
@attribute 'okres w jakim pobiera³ dochód' numeric
@attribute p³eæ {kobieta,mê¿czyzna}
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute 'kwota kredytu' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'rodzaj Ÿród³a dochodu' numeric
@attribute 'status pozyczki' {dobry,z?y}

@data
48,350,kobieta,'\'(42.8-55.2]\'',426.61,1,2470,11,dobry
48,212,kobieta,'\'(42.8-55.2]\'',200,0,963.57,11,z?y
48,42,kobieta,'\'(42.8-55.2]\'',300,0,1344.9,11,dobry
48,235,kobieta,'\'(67.6-inf)\'',200,1,930,13,dobry
48,121,kobieta,'\'(55.2-67.6]\'',200,1,1125,13,dobry
48,41,kobieta,'\'(30.4-42.8]\'',400,1,980.11,11,dobry
2,8,mê¿czyzna,'\'(55.2-67.6]\'',300,1,1000,12,dobry
48,137,mê¿czyzna,'\'(55.2-67.6]\'',300,1,1611,13,dobry
48,115,kobieta,'\'(67.6-inf)\'',500,1,1200,13,dobry
48,7,kobieta,'\'(55.2-67.6]\'',800,0,1215.64,12,z?y
48,135,kobieta,'\'(55.2-67.6]\'',600,1,1050,13,dobry
48,11,kobieta,'\'(55.2-67.6]\'',300,0,1199.37,13,dobry
48,50,kobieta,'\'(55.2-67.6]\'',400,0,1400,13,dobry
18,23,mê¿czyzna,'\'(-inf-30.4]\'',600,1,1300,12,dobry
48,116,kobieta,'\'(42.8-55.2]\'',335.97,1,1721.7,11,dobry
5,145,mê¿czyzna,'\'(42.8-55.2]\'',300,1,798.8,17,dobry
48,391,mê¿czyzna,'\'(55.2-67.6]\'',200,0,1500,11,dobry
0,6,kobieta,'\'(30.4-42.8]\'',200,1,980,12,dobry
