status pozyczki,rodzaj Ÿród³a dochodu,miesieczny dochod netto,ktore rolowanie,kwota kredytu,wiek,p³eæ,okres w jakim pobiera³ dochód,okres w jakim bêdzie pobiera³ dochód,opóŸnienie sp³aty
splacona_cz,11,2470,1,426.61,49,kobieta,350,48,0
odmowa,11,963.57,0,200,47,kobieta,212,48,0
splacona_cz,11,1344.9,0,300,45,kobieta,42,48,5
splacona_cz,13,930,1,200,72,kobieta,235,48,0
splacona,13,1125,1,200,65,kobieta,121,48,0
splacona_cz,11,980.11,1,400,34,kobieta,41,48,0
splacona_cz,12,1000,1,300,60,mê¿czyzna,8,2,8
splacona,13,1611,1,300,65,mê¿czyzna,137,48,0
splacona_cz,13,1200,1,500,70,kobieta,115,48,0
odmowa,12,1215.64,0,800,57,kobieta,7,48,0
splacona_cz,13,1050,1,600,61,kobieta,135,48,1
splacona,13,1199.37,0,300,61,kobieta,11,48,452
splacona_cz,13,1400,0,400,59,kobieta,50,48,0
splacona_cz,12,1300,1,600,29,mê¿czyzna,23,18,7
splacona_cz,11,1721.7,1,335.97,54,kobieta,116,48,1
splacona_cz,17,798.8,1,300,54,mê¿czyzna,145,5,7
splacona_cz,11,1500,0,200,57,mê¿czyzna,391,48,1
splacona_cz,12,980,1,200,31,kobieta,6,0,3
splacona,13,1000,0,200,75,kobieta,207,48,7
splacona_cz,13,919,1,430,66,kobieta,137,48,14
splacona_cz,12,1032,1,300,46,kobieta,34,6,5
odmowa,12,2000,0,700,35,mê¿czyzna,6,6,0
splacona_cz,13,856,0,200,64,kobieta,53,48,0
splacona_cz,11,2700,1,1000,30,mê¿czyzna,60,48,0
splacona_cz,16,1770,1,500,58,mê¿czyzna,85,48,0
windykacja_sp,16,1788,1,300,54,kobieta,59,48,462
splacona_cz,12,599.03,0,200,37,kobieta,15,3,6
splacona_cz,12,1000,1,231.22,52,mê¿czyzna,8,31,7
splacona_cz,13,1085,1,400,67,kobieta,162,48,0
splacona_cz,13,1900,1,500,56,mê¿czyzna,146,48,0
splacona_cz,12,1963.88,0,400,44,mê¿czyzna,2,3,0
splacona,13,1772.53,0,400,71,mê¿czyzna,276,48,0
splacona_cz,16,1100,1,600,69,mê¿czyzna,133,48,0
splacona_cz,16,1473.04,0,400,65,mê¿czyzna,161,48,4
splacona_cz,13,1026,1,300,60,kobieta,51,48,0
splacona,13,917,0,300,63,kobieta,72,48,10
splacona_cz,13,1160,0,500,61,kobieta,74,48,0
splacona_cz,98,3178,1,500,43,mê¿czyzna,197,48,7
splacona_cz,11,932.34,1,200,51,kobieta,391,48,0
splacona_cz,13,1420,0,200,70,mê¿czyzna,49,48,0
odmowa,17,734.94,0,200,51,kobieta,18,6,0
splacona_cz,11,1443,1,600,43,kobieta,30,48,0
splacona_cz,13,2100,1,1000,73,kobieta,51,48,0
splacona_cz,13,936,1,300,60,kobieta,27,48,0
odmowa,13,757.1,0,200,67,kobieta,194,48,0
splacona,13,1083.23,1,200,58,kobieta,93,48,0
odmowa,11,970,0,300,54,mê¿czyzna,194,48,0
splacona_cz,12,1300,0,300,26,kobieta,4,8,1
